text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
@shskaprl2580 @sangjungsim 그쪽처럼 이재명 찍어라 이재명이 답이다라면서 협박하고 뒤에서 자기들끼리 심상정 저 ㄴ 이번 선거계기로 은퇴하게 한표도 못가게 막아야한다 하고 모략질하는 이재명 극성지지자들 보니까 너무 웃겨요 ^^ 글고 민주당이 뭔 진보정당입니까ㅋㅋ 정의당보고 기득권이랜다~ 이재명 지지자가ㅋㅋ아웃겨,0.03,0.0,0.01,0.03,0.01,0.03,0.02,0.1,0.54,0.1
"정의당중앙당후원회 농협 301-0217-9031-51
국회의원류호정후원회 농협 301-0276-0536-41
국회의원장혜영후원회 농협 301-0274-6817-91
국회의원강은미후원회 농협 301-0274-4880-21
국회의원이은주후원회 농협 301-0274-4006-41
국회의원배진교후원회 농협 351-1142-4855-13

#쏘또정 #정의당",0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.08,0.83
"후원금의 10만원까지는 연말정산 시 전액 환급됩니다. 10만원 초과 금액에 대해서는 세액공제 혜택을 받으실 수 있습니다.

심상정 뿐만 아니라 심상정과 함께하는 여성 정치인, 정의당에도 많은 응원과 격려를 부탁드립니다.

#쏘또정 #정의당",0.07,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.08,0.78
"꼭 뽑아달라고 외치고 싶습니다. 하지만 현실이 녹록치 않아 그저 울고싶을 뿐입니다.

심상정에게는 여러분들의 응원과 지지가 필요합니다. 대선 이후에도 행보를 이어갈 수 있도록, 정의당과 심상정을 응원해주세요.

이번에 전략 투표로 심상정을 뽑지 못하셨다면, 이렇게나마 응원을 부탁드립니다. https://t.co/5BLpfuxObf",0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.79
깨어있는국민여려분오늘선거에서정의당심상정이찍으면대통령은윤석열이됩니다~이건국가의재앙입니다~윤석열이당선시킬목적이아니라면왜끝까지완주하는것인지~선거때만되면상습적으로선거에나와민주진영의투표를약화시키는심상정이절대로찍지맙시다,0.01,0.01,0.02,0.01,0.0,0.02,0.01,0.02,0.26,0.58
아니 근데 그 정의당원의 위선은 도저히 못참아 주겠네.,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.45,0.37
아니냐고 듣기 싫었어 ㅠ ㅠ ㅠ ㅠ ㅠ 어느 정도는 3번에도 득표율 나왔음 좋겠어.... 그래야 정의당이 담 목표까지 나아갈 힘이 생기지 않을까...,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.76,0.18
"이런 인간을 당원으로 다시 받아준 정의당도, 그 정의당의 정의도 위선이 아니면 뭘까. 역대 최초로 선거비 보전에 올인한 진보정당. 해체가 답이다. https://t.co/BWjchi9WEW",0.05,0.0,0.01,0.03,0.01,0.02,0.02,0.14,0.59,0.05
진짜 와… 부산 살면서 미친 새끼들 너무 많이 봐서 불안해서 민주당 뽑지 저도 민주당이랑 정의당 중에 고르고 싶어요… 국민의 뭐…?? 미친거 아냐..????,0.02,0.01,0.02,0.02,0.01,0.66,0.01,0.05,0.3,0.03
아 반려인간은 전략투표하고 정의당에 후원해주기로 함ㅋㅋㅋㅋㅋ,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.84
"소신투표는 힘이 셉니다.
소신투표는 세상을 바꿉니다.

대선이 끝나도 죽지 않고 살아남아 대한민국을 바꾸는 표,
정의당 심상정에게 주시는 가장 값진 표입니다. https://t.co/YYx0pXXpJF",0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.88
@sangjungsim 정의당이 한심스럽고 심상정이란 인물이 답답해보인답니다 그오랜시간 뭘 떠들고 살아왔는지 츠츠 한심하다한심해,0.04,0.01,0.01,0.04,0.01,0.01,0.01,0.07,0.75,0.07
"@sangjungsim 궁금한게 있어요 도대체 진중권 같은 쥐새끼를 받아 준 이유가 뭔가요? TV 나와서 
윤가 찬양하던데 혹시 그거 정의당 전략인가요?왜 버젓이 당후보가 있음에도 타당 후보를 지지하는 발언을 하고 다닙니까? 정의당의 정체성이 진심 궁금해집니다",0.02,0.01,0.01,0.05,0.01,0.01,0.02,0.1,0.67,0.1
"정의당과 심상정의 미래 또한 이번 대선 득표가 3.x 일지, 4.x 일지, 5.x 일지에 따라 많이 갈리겠지…
뭐 3%는 넘을듯 한데, 그것도 못 넘으면 진짜 아수라장일테고… 물론 뭐가 되어도 당이 없어지거나 하진 않을테지만",0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.12,0.83
