text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
우리 교회에서도 동성애 반대한다고 목사가 단상에서 입에 침을 튀기며 설교하다가 캐나다 교단이 동성애 합법화하니 설교에서 그까짓 동성애가 뭐라고 넘어가자고 설교 함 설교 녹음해서 단톡방에 올렸음 트위터에 윤석열이 될것으로 보이니 태세 전환하는 것들보면 치를 떰,0,0.02,0.01,0.82,0.02,0.01,0.01,0.09,0.04,0.04,0.05
윤석열이 성소수자 앞에서 그들의 말이라도 들었나 이재명이 비웃음은 잘 못됐지만 당신들이 존재도 없는 여성 성소수자는 더욱 탄압할 윤석열과 같다고는 좀,0,0.03,0.01,0.82,0.02,0.01,0.01,0.03,0.05,0.07,0.06
아빠20대딸래미가둘이나잇는데진심으로윤석열이뽑고싶은거야 심지어하나는성소수자인데도 라고 물을 순 없엇어요 차마,0,0.03,0.02,0.71,0.01,0.01,0.01,0.01,0.04,0.1,0.3
윤석열 뽑는다는 건 기회균등이나 복지나 여성 및 소수자 인권은 물론 자유민주주의도 그만 하겠다는 소리,0,0.35,0.02,0.65,0.02,0.02,0.02,0.01,0.33,0.07,0.06
윤석열 지지 선언한 직업군인 똥별들보다 의무복무 하면서 나라에 청춘을 바친 장병들의 이재명 지지선언이 훨씬더 값져보인다,0,0.05,0.01,0.61,0.16,0.08,0.02,0.04,0.44,0.05,0.04
