text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
페미니즘을 대하는 거대양당의 태도는 전라도를 대하는 태도를 보면 거의 똑같습니다 국힘은 아예 버리는 표 취급 민주당은 가끔 립서비스 좀 해주고 그래서 저새끼들 찍을거냐 모드 그러니 전략적 투표 이런거 좆까라 하고 그냥 소신 투표하면 됩니다 이든 윤이든 심이든,0,0.28,0.02,0.03,0.06,0.02,0.92,0.03,0.1,0.05,0.03
소신투표하는 사람들 1일 경상도 체험시켜주고 싶다,0,0.01,0.02,0.02,0.02,0.01,0.86,0.01,0.02,0.05,0.09
2월 27일 일 안철수 후보님 호남유세 일정 09 30 목포역 광장 전남 목포시 영산로 98 목포역 광장 12 40 순천 아랫장 전남 순천시 장평로 60 15 00 여수 낭만포차거리 전남 여수시 하멜로 102 18 30 광주 충장로 거리 광주 동구 충장로 94 #안철수 #소신투표,1,0.02,0.02,0.02,0.03,0.01,0.82,0.02,0.02,0.03,0.34
대구 사람들에게 소신 투표를 하라고 하면 누구를 찍을 거 같냐 ㅋㅋㅋㅋ 내가 대구에서 태어나서 고등학교 졸업할 때까지 살아봐서 그 동네 상태가 어떤지 뻔하게 아는데 이런 거 보면 참 웃기지도 않다,0,0.01,0.01,0.01,0.03,0.01,0.75,0.02,0.02,0.06,0.13
선거에서 투표 집계하는 자가 뽑히면 후진국 독재 대통령 여론조사서 이길 사람 뽑으면 개도국 민도 수준의 국민 웃기지 마라 소신투표다 성숙한 자유민주 선진국 국민,0,0.01,0.01,0.02,0.17,0.02,0.74,0.01,0.08,0.06,0.04
솔직히 문국현 뽑은 후로 한번도 소신 투표 해본적 없음 그냥 항상 차악 최악은 아니라는 투표만 했음 이명박 정동영 나왔을때도 걍 정동영 찍었음 왜냐면 이명박 되면 백퍼 광주 박살 낼것 같았고 물론 그는 대한민국을 박살냈지만ㅋㅋㅋㅋㅋㅋㅋ여튼 그래따 하지만 이번 선거가 제일 괴로움,0,0.01,0.01,0.01,0.02,0.01,0.72,0.01,0.02,0.08,0.19
댓글중 호남에서 소신투표가 많이 나타나리라고 본다 민주당후보이면 장작개비를 세워놔도 찍어줄만큼 호남인들이 단순하지 않을 것이다 스스로를 지역주의로 가두지는 않을것이다 윤석열은 최소한 상식적인 후보임 이재명은 비상식적인 후보라서 어디로 어떻게 튈지 모름,0,0.01,0.01,0.01,0.03,0.01,0.71,0.01,0.02,0.05,0.21
