text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
근데 왜 다들 개표방송 보고 울 거라고 생각함 한녀들도 본능적으로 느끼는 건가 여자끼리 뭉치자 해도 좆도 말 안 듣고 소신투표 하겟다고 고집 부리고 남초 가서 여왕벌짓이 좋아서 여자 버리는 년들 때문에 질 거라는 거 다들 예상하는 거야 뭐야,0,0.86,0.14,0.02,0.04,0.01,0.02,0.01,0.02,0.04,0.04
19대 대선 때는 응 아가리 페미 소신투표 할거야 하면서 현대통령 조롱해놓고 이제와서 여자 생각하면 1번을 뽑으세욥 이러는거 넘 투명해서 정치판 존나 우스워짐ㅋㅋ 트위터로 페미를 배우면 걍 그 수준일뿐,0,0.86,0.02,0.01,0.03,0.01,0.01,0.01,0.03,0.1,0.1
소신투표보단 전략투표할 때라고 봐 젤 큰 문제가 무고죄 처벌 강환데 이거 시행 되면 여자들 성범죄 당하고 먼저 재판 걸어도 무고죄 악용 당해서 여자들 진짜 개돼지 가축 취급 당할 수도 있어 윤석열 딴 건 다 이준석 펨코야갤 꼭두각시 짓 해도 검찰 권력 강화하는 건 지 신념이라 너무 위험해,0,0.85,0.06,0.02,0.02,0.01,0.01,0.01,0.03,0.09,0.07
문재인 대통령 후보때 그렇게 소신투표 말고 전략투표 해달라고 할 때 입페미들이 지껄인 말들 있잖아 근데 이제 걔들이 전략투표한데ㅋㅋㅋㅋ 니들 급하긴 급하구나 5년 내내 염천을 떠시더만 어딜 찍나 다 지옥이야ㅋㅋㅋ,0,0.85,0.02,0.01,0.02,0.02,0.02,0.01,0.05,0.12,0.06
문재인과 민주당이 페미니즘으로 자신들을 조진다는 적개심에 이대남이 오세훈에게 몰표를 주고 이대녀는 소신투표한다고 분산되어 오세훈이 당선된 게 근거죠 이대남은 윤석열을 맹목적으로 지지하고 이대녀는 이재명을 딱히 안 좋아하니까 대선도 오세훈 당선처럼 될 거라는 겁니다,0,0.85,0.01,0.02,0.04,0.01,0.03,0.01,0.08,0.07,0.15
여자들 트위터 플로우만 보고 방심하면 안됩니다 투표소에 젊은 남성들 진짜 많고 윤석열 지지층 콘크리트라 1번이랑 3번으로 분산되는 여성들표 쨉도 안됨 진짜 윤씨 안되게 하려면 무조건 소신투표해야합니다,0,0.85,0.07,0.02,0.02,0.03,0.02,0.01,0.03,0.05,0.11
여자들 극한성별인데 인간적으로 두표씩줘라 하나는 소신투표하게,0,0.84,0.05,0.03,0.02,0.01,0.02,0.01,0.02,0.04,0.14
여가부 폐지 윤석열 대 스토킹피해여성 살인자 변호한 이재명이다 소신투표 욕하면서 전략 투표 잘 해봐라,0,0.84,0.01,0.02,0.07,0.01,0.02,0.01,0.09,0.1,0.12
솔까 윤석열이 소신투표 눈치를 왜 봄 윤석열이 여자 눈치 보는것보다 5년안에 여자들 다 죽이는게 더 쉽다고 생각할텐데,0,0.84,0.06,0.02,0.02,0.01,0.01,0.01,0.03,0.11,0.1
무슨 뜻인지 알겠습니다 사실 저도 박가분류 같은 안티페미 쓰레기 좀 망하게 하고 싶어서 소신투표 이야기 한거였습니다 걔네들이 정의당은 페미만 잡아서 망했다 는 헛소리를 했거든요 그래서 이번에 최대한 많이 받아서 걔네들의 입을 닥치게 하고 싶었습니다,0,0.83,0.02,0.02,0.03,0.01,0.01,0.01,0.04,0.11,0.12
소신투표로 민주당 말고 다른 후보 뽑았다가 나라 ㅈ되고 여자 ㅈ되는 꼴을 보고 싶나ㅋㅋㅋㅋㅋㅋ 이번엔 전략투표를 합시다 제발,0,0.83,0.04,0.02,0.02,0.01,0.02,0.01,0.03,0.15,0.07
그냥 소신투표 하지 윤이 되든 이가 되든 여자는 망해,0,0.83,0.04,0.01,0.03,0.01,0.02,0.01,0.02,0.09,0.1
진보정당 남자들이 제발 닥쳤음 좋겠음 무결한 진보의 가치를 위해 여자들이 심찍 안찍 소신투표 하고 윤석열과 이준석 치하에서 성범죄 당해도 무고죄 걸리고 청약 배제당해 집도 못 사고 취직도 못하고 남자와 결혼해 주 120시간 저임금 비숙련 일자리 재택근무하면서 출산에 육아나 하라고 ㅋㅋ,0,0.83,0.04,0.01,0.02,0.02,0.02,0.01,0.07,0.1,0.1
이상만으로 굴러갈 수 있는 세상이면 왜 전세계가 이 지경이 났겠음 뭔가를 쟁취하려면 힘이 필요함 소신투표해서 여자들한테 돌아온게 뭐가 있음 여가부폐지 여성혐오 팔아서 당선 유력해진 대선후보와 여자표는 어차피 분산된다는 조롱밖에 없음,0,0.83,0.02,0.01,0.04,0.01,0.02,0.01,0.03,0.07,0.17
걍 진짜 페미니즘은 휴머니즘이다 ㅇㅈㄹ 하는 거 보고 소신투표 접고 윤석열은 막아야겠다 싶다,0,0.83,0.02,0.03,0.02,0.01,0.01,0.01,0.03,0.11,0.13
트페미들중 전략투표 이재명 소신투표 심상정 으로 분열됐나본데 소신쪽은 어찌됐건 진정성이라도 보이지 이재명 기가찬다 잡것들아ㅋ,0,0.83,0.02,0.03,0.02,0.01,0.02,0.02,0.07,0.19,0.06
소신투표든 전략투표든 여혐정치해도 찍어주는 여자들이 지금 대선에 더 큰 영향을 끼친다 생각함 국민 거의 절반이 여자인데 지금 지지율만봐도 뭐 서로 안싸웠음좋겠다 어차피 바라는건 같은데,0,0.83,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.07,0.19
대선시즌이라 또 어김없이 민주당지지러들이 또또 2030 여자들 잡고 윽박지르고있더라ㅋㅋㅋ니들이 전략투표 안하면 나라 망하는거라면서ㅋㅋㅋ아니 심정은 알겠는데 걔가 뽑히면 그걸 뽑은새끼들이 나라 망하게한거지 니들 소신투표했으면 민주당 당선때 뭐 바라지마셈 해놓고,0,0.83,0.02,0.01,0.02,0.04,0.03,0.01,0.06,0.14,0.06
소신투표 대안으로 이재명 찍겠단 트페미들 제일 이해 안 가는 점 스토킹살인범과 강간범 변호한건 흐린눈 여가부폐지는 4후보가 다를 게 없는데 그것도 모른척 함 얘가 공약 지킬 것 같나 공약이라고 했더니 진짜 공약인 줄 알더라 나중에 이런말 듣고 속았다 하지말고 정신차려요,0,0.82,0.01,0.03,0.03,0.01,0.01,0.01,0.06,0.12,0.12
선거기간만 되면 온갖 커뮤고 sns고 여자들 죄책감 유발하네 어째 심찍홍 때랑 달라진 게 없냐 소신투표를 하건 전략투표를 하건 알아서 하고 소신투표 하겠단 사람 대가리 꽃밭 취급 좀 그만하길 제일 치열하게 고민하는 게 누구겠냐고,0,0.82,0.04,0.01,0.02,0.02,0.02,0.01,0.03,0.11,0.09
정의당 왜 이재명 지지한다는 여자들한테만 호소하는지 모르겠음 속고 있는 거니 뭐니 2030 여성들 스스로 판단한 거죠 대체 소신 투표를 왜 윤석열 지지자들한테는 권유 안 하고 이재명 지지자들한테만,0,0.82,0.01,0.01,0.02,0.02,0.04,0.01,0.09,0.13,0.08
지금 소신투표 할 때가 아니다 여자들아 제발 소신투표 할 때가 아니라고 발,0,0.81,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.08,0.18
그동안 줄곧 소신투표만을 외치며 문재인도 여혐대통령이라고 까던 사람들이 갑자기 국힘은 안된다며 보찢남을 응원하고 있는 꼴을 보면 그냥 웃음도 안나옴 뭘 차악을 뽑아요 님들은 이재명 지지자가 맞습니다,0,0.81,0.05,0.02,0.02,0.01,0.01,0.01,0.03,0.12,0.09
여자들 투표 안한다고 누가그래 내가 투표한 곳은 남자보다 여자가 많더라 소신투표 말고 전략투표하자,0,0.8,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.07,0.25
페미끼리 소모적인 개싸움 그만합시다 저는 윤석열과 이재명이 여성주의적 관점에서 동등하다고 보지 않고 따라서 윤석열을 막기 위해 이재명에 전략투표 하겠습니다 사표되는 위험을 감수하고 심상정에 소신투표 하시는 분들 역시 존중합니다 제발 부탁이니 무익하고 무의미한 감정싸움 멈춥시다,0,0.8,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.07,0.15
심으로 소신투표 가려 했는데 소신투표했다간 윤 당선돼서 여자는 살수 없는 세상 되겠네 진짜,0,0.8,0.06,0.02,0.02,0.01,0.02,0.01,0.02,0.09,0.13
이번 선거는 내 첫선거고 대선이라는 중요한 선거이기도 한데 여자들 표 공중분해되는 꼴은 두눈 뜨고 못보겠음 나는 윤이랑 이 둘 다 싫은 심 지지자여서 소신투표 하려 했는데 그러면 표 공중분해됨 윤만은 막겠단 생각으로 정말정말 차악으로 이를 뽑을 수밖에 없음,0,0.8,0.04,0.01,0.02,0.01,0.02,0.01,0.02,0.11,0.14
설사 윤석열이 대통령되더라도 이재명 혹은 정당이 것봐 이런상황이면 결국 이삼십대여자들도 날 뽑는다니까 하고 생각하게 하기가싫다 소신투표와 최악막기투표 사이에서 초조하게 만드는거 매번 있는 일이었고 그게 결국 거대정당들이 몸집 부풀리는데 쓰는 전략에 지나지않음,0,0.8,0.03,0.01,0.02,0.02,0.02,0.01,0.03,0.05,0.18
이재명은 개인사로 형보수지를 찢지만 윤석열은 그냥 한국여자 전체를 찢습니다 당신이 진짜 여자를 위한다면 여자들의 도덕적 신념을 건드리면서 윤석열한테 유리한 쪽으로 선동하면 안되죠 이재명한테 소신투표하는 여자가 어딨어요 본인 소신 전부 버리고 소중한 한 표 전략투표로 돌리는 건데,0,0.8,0.06,0.02,0.03,0.01,0.01,0.02,0.02,0.1,0.09
ㅋㅋ진짜 정의당 페미정당이라니 아님 정의당이 아닌 여성의당이 대선후보에 있었다면 소신투표한다는 사람들 쌉이해 근데 정의당 당신들이 언제 여권정책을 얼마나 펼쳤다고 페미정당 페미니까 정의당 찍어야한다 이러고 있냐 페미표 받으려고 이용하는건 당신들임,0,0.78,0.01,0.02,0.03,0.01,0.02,0.01,0.05,0.12,0.12
대선 2주도 안남았는데 대가리꽃밭인 한녀들 왤케많은지 모르겠어 누구는 심 싫어서 이 찍는줄 아나 살아야하니까 찍는거잖아 지지율 보고도 소신투표해라고 징징대는 애들 보면 걍 윤 지지하는 펨코신남연들로밖에 안보임 소신투표는 저번대선때나 가능했다고요 제발 현실을 봐,0,0.78,0.3,0.02,0.04,0.01,0.02,0.01,0.03,0.04,0.03
소신투표 하지말라는 페미 들은 거 뭐냐 이재명이 알바 푼거임,0,0.78,0.02,0.01,0.02,0.01,0.01,0.01,0.03,0.12,0.15
윤석열은 도태남편에서 표 공략하고 있고 그 반대로 이재명은 여성들 약자들 편에서 표 공략하고 있다 공략이 먹히는 쪽으로 앞으로의 정치 흐름이 옮겨간다 여자들 결집해서 표심을 보여줘야함 소신투표 소신하기전에 목에 칼이 들어왔는데 소신은 무슨,0,0.78,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.1,0.16
하시는데 중요한건 윤석열 소신투표로 윤석열 뽑으면 한 인물보다 더 큰 집단 2030남성 에게 우리는 사회적으로 억압받고 죽어나갈 거다 벌써부터 1 성폭력 무고죄 처벌 강화 누가봐도 xx이지 2 여가부 폐지 이 지랄 하고 있지 않냐,0,0.77,0.07,0.02,0.02,0.02,0.01,0.01,0.06,0.09,0.08
개비참함 내 첫 대선투표인데 이지랄로피테쿠스돼선 소신투표하다간 여자 다 죽게 생김 이럴수가 있는거임 여자도 걍 여기서 땅 또 갈라서 여자땅 남자땅하면 안 되냐 아니다 여자는 땅이니까 여자가 땅에서 살게 남자는 하늘가서 살아라 죽으라는 뜻이다,0,0.77,0.08,0.02,0.03,0.01,0.01,0.01,0.02,0.1,0.08
아 뭐 이재명한테 소신투표하는 여자들 없을거란 말은 안한다 분명 있을거니까 그 새끼랑 결혼한 사람도 있는데 뭐 근데 지금 적어도 2030여성들 중 이재명 찍는다는 여자들 태반은 소신투표 아니다 윤만큼은 막자 주의지,0,0.77,0.02,0.01,0.01,0.02,0.03,0.01,0.04,0.13,0.15
솔직히 소신투표 하겠다는 트위터 젊은 여자들 긁어모아봤자 대단한 세력이 될리가 없고 정치적으로 의미없는 집단이라는 게 아니라 그냥 머릿수가 한줌 민주당 개저들도 다 알면서 그냥 젊은 여자들이랑 말섞고 꼰대질 하고싶은거지,0,0.77,0.03,0.02,0.02,0.13,0.03,0.01,0.11,0.12,0.07
이낙연이 민주당 후보 됐잖아 그럼 트펨들 분명 지금처럼 안 저랬다ㅋㅋㅋ 백퍼센트 장담함ㅋ 지금처럼 전략투표로 민주당 찍자는 소리 대신 여성의 표심을 보여주려면 심상정 찍는 소신투표 하자 이런 흐름이었을 거야ㅋ 어떻게 아냐고 문프 때 그랬잖아,0,0.77,0.04,0.07,0.01,0.01,0.01,0.01,0.04,0.07,0.11
근데 저 이런경우 처음 봤어요 매번 선거때마다 여초카페에서 정의당 여성의당 지지자들은 소신투표할거다 민주당 지지자들은 전략투표 안하면 다죽는다로 협박질해서 소수당 애들이 민주당 애들 저격하면서 표 맞겨놨냐하고ㅋㅋ민주당것들은 동아리라고 놀리고 그러더니 여가부가 돈줄이 맞나봐요,0,0.77,0.01,0.02,0.04,0.01,0.02,0.01,0.12,0.19,0.13
나 진짜 이뽑을 생각전혀없었고 이번대선 무조건 심이다였는데 지금 심뽑다간 여자들 다 죽어나가게 생겼음 여성분들 이번엔 소신투표 안되요 윤지지하는 20대남들 우리가 저지해야해요 윤이되면 여성인권 50년 100년이상 퇴보할수있다고 봅니다 이번만큼은 무조건 이재명이 되야해요,0,0.77,0.08,0.01,0.02,0.02,0.02,0.01,0.03,0.07,0.16
존나남자들은먼저 개쓰레기당에소신투표 ㅋㅋ 하고 여자들은 맨날쓰레기담당반 역할됨,0,0.77,0.13,0.02,0.02,0.01,0.02,0.01,0.04,0.14,0.05
여성인권을 짓밟는 윤석열을 규탄한다며 소신투표로 이재명을 찍겠다는 트페미들의 웃긴점 니 애미 씹구멍을 찢어 좆탱이를 쑤셔 박으면 좋겠냐 는 이모씨의 발언은 모른 척함 난 태어나서 평생 저런 여성혐오의 교과서라고 불려도 될만한 욕을 처음 들어봄,0,0.76,0.07,0.04,0.02,0.01,0.01,0.01,0.04,0.14,0.05
어떡하지 ㅅㅅㅈ에게 소신 투표를 하고싶은데 ㅇㅅㅇ이 되면 진짜 나라 망함 대한민국 절반이 여성인건 아는데 그 여성이 다 2030이 아니잖어 결국 장년층은 거의 ㅇㅅㅇ을 압도적으로 뽑을거 아님,0,0.76,0.02,0.01,0.02,0.02,0.02,0.0,0.04,0.15,0.15
소신투표 하는 여자들 머리채 잡을 시간에 2번 시원하게 뽑겠다는 니 친구들이나 잡으세요,0,0.76,0.05,0.02,0.02,0.01,0.01,0.01,0.03,0.19,0.11
3위까지 올라갔던 지지율이 안보다도 밑으로 떨어졌잖아 근데 상식적으로 심 찍던 인간들이 안 찍겠냐 그 사람들 다 이 찍으러 간건데 딱히 지지정당 없고 이와 윤 사이에서 오가던 중도표 안 찍으려던 보수표 싹 윤이 긁어간거지 근데 꼭 머리채 잡히는건 감성적이라 소신투표하는 여자들 임,0,0.76,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.09,0.17
민주당이 패한다면 그 이유는 소신투표하는 여성과 성소수자 X 민주당 내부 안티페미 남성들 O 나중에를 외치는 민주당 O 박원순과 2차 가해자들 O,0,0.76,0.01,0.26,0.02,0.02,0.04,0.01,0.14,0.07,0.07
