text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
한때 우리도 문국현을 소신투표라고 찍어댄적이 있었죠ㅋㅋ 새록새록ㅋㅋ 물론 후회는 없지만 저땐 못말리는듯요ㅋㅋㅋ 대가리 깨져봐야 알지 여가부 폐지하고 여장부 같이 더 좋은거 만들어줌 될거아녀요ㅋㅋㅋ 형수 보확찢이야말로 여혐끝판왕 아닌가 ㅋㅋ,1,0.7,0.03,0.02,0.01,0.01,0.01,0.01,0.05,0.24,0.07
아니 어차피 이재명이 되든 윤석열이 되든 여성인권 개차반이고 윤석열 저지랄인데 이재명이 가만히 있는 걸로 보아서 소신투표자들을 모으려는 가만히 있음이라고 생각해,0,0.7,0.01,0.02,0.02,0.01,0.01,0.01,0.05,0.22,0.15
저는 이재명찍을 겁니다 최악보다 차악이 있어야 그다음 차선을 선택할수있는 선택지가 생깁니다 소신투표하다가 여성인권 ㅈ창난 나라에서 살순 없어요 이민갈 자금 있는것도 아니고 여자후보가 잘되는거 너무 원합니다 심이 유일하게 얼간이들 사이에서 대통령감이에요 근데 현실을 봅시다,0,0.7,0.01,0.02,0.03,0.01,0.01,0.01,0.04,0.11,0.23
윤이랑 이준석이 여자 더 죽이는 나라 만들겠다고 대놓고 몇 번이고 확인시켜줘도 여자들이 결집 못하는 건 사실이자너 그러니까 정치인들은 당연히 여혐 하나로 똘똘 뭉치는 남자들 말 잘듣는거고 소신투표 하든말든 아무튼 그런 점에서 여자들이 한심하고 될 것도 못 되게 만드는 건 인정해야지ㅇㅇ,0,0.7,0.06,0.01,0.02,0.01,0.01,0.01,0.02,0.11,0.15
정의당 대통령 만들 생각 있었으면 지지율부터 올렸어야지 이제와서 여자들이 안뽑아준다니까 하는 말이 가관이다 사표는 현재 1위가 차악 2위가 최악일때나 하는거지 최악이 1위인 상황에 소신투표하는 바보가 어디있나,0,0.7,0.02,0.01,0.02,0.01,0.02,0.01,0.04,0.22,0.11
이재명이 공장에서 일할 땐 여자애 머리끄댕이를 잡아 버르장머리를 가르쳐주고 약해 보이는 동료의 식판을 집어 던지며 서열을 높였다고 이재명의 장래희망은 선생님에게 하도 맞아서 본인도 선생님이 되어 약자인 아이들을 때리며 복수해 주려고 했다고 소신투표 했다간 여자들 강제 대머리행,0,0.7,0.05,0.01,0.02,0.01,0.01,0.01,0.03,0.14,0.11
이젠 소신투표 여성층 대놓고 죽창들고 패고있네 ㅅㅂ ㅋㅋ 이번에 여자들이 죄명이 안뽑으면 앞으로 여성표는 개무시당하느니뭐니 병신같은 논리펼치고있는데 이번에 여자들이 죄명이 몰표던지는거야말로 걍 아무리 여혐떡칠한 새끼도 선거철에 여성챙기는척 잠깐하면 몰표주는 호구집단 인증아니냐고,0,0.7,0.02,0.01,0.02,0.02,0.04,0.01,0.09,0.38,0.03
여자가 죽는 나라가 될게 뻔하니 전략 투표를 했다 너무 슬프다 나도 소신투표하고 싶었어,0,0.69,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.08,0.28
여자 투명인간 취급하고 기만하는 것도 정도껏이지 니들 마음대로 대선 휘젓는 꼴을 가만히 보고 있을 것 같냐 잠자코 소신투표하려던 여자들도 다 전략투표로 갈거다 곧 결과 보자고 뻔뻔무지한 놈들아,0,0.69,0.05,0.02,0.01,0.01,0.01,0.01,0.04,0.31,0.07
난아직도 2030여자들 이제야 신경 거들떠나 주는게 괘씸해 소신투표할거야 지금 안하면 할 선택지조차 곧 없어질걸,0,0.69,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.24
소신투표 생각은 접은지 오래야 일단 살아야지 친구들하고 잘 먹고 잘 살면서 같이 늙어 가고 싶거든 더이상 여자 죽는거 더이상 못보겠어,0,0.69,0.07,0.02,0.01,0.01,0.01,0.01,0.02,0.11,0.19
맞아 진짜 나 절대 유력후보 둘 뽑을 생각 1 도 없었는데 이젠 아니야 여자들 힘 합쳐야 한다고 생각함 소신투표해서 정의당 득표율 높아지면 그거로도 의미가 있겠지 하지만 윤 당선되면 여성정책 싸그리 나가리 되는 거,0,0.68,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.07,0.39
이제와 전략 타령하면서 이재명 찍는다는 트페미들은 생각할수록 웃기네 17년 대선때는 문대통령님 공격에 앞서고 최근 서울시장 보궐땐 누구보다 열심히 소신투표로 세상에 존재를 알려야 한다며 파셨던 분들이잖아 차라리 뚝심있게 소신 투표 하세요,0,0.68,0.02,0.03,0.01,0.01,0.01,0.01,0.04,0.13,0.15
진짜 소신투표 한다는 여자들 겁주는 거 그만하고 이낙연 팬들이나 어떻게 좀 해라,0,0.68,0.01,0.01,0.02,0.01,0.02,0.01,0.04,0.21,0.14
그재앙 때문에 윤석열 지지하는 사람이 여자는 이재명한테 소신투표 절대 못해 ㅇㅈㄹ,0,0.66,0.02,0.01,0.02,0.01,0.02,0.01,0.05,0.29,0.08
여자들 소신투표한다고 당 갈라칠때 인셀남들은 여자들 약자들 죽이려는 목표를 갖고 윤으로 단합한다 여자들도 한쪽으로 뭉쳐야해 쟤네가 원하는게 여자표 갈라치는거고 그렇게 여초 잠입해서 공작질하는데,0,0.66,0.3,0.02,0.02,0.01,0.01,0.01,0.02,0.06,0.06
얘들아 이재명으로 하자 소신투표는 여자가 사람인 나라에서 하자,0,0.65,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.07,0.36
심찍심들 멍청 ㅎ 이재명 찍자고 하는 여자들 전에는 심상정 찍어서 여성의 의견을 보여주자고 하는 소신투표파 였음 ㅋㅋ 근데 지금 심상정 찍는다고 뭐가 되디 ㅅㅂ 이재명 안찍으면 윤석열되는데 ㅋㅋㅋ 지금 여자들 살아보자고 이재명 찍자는 사람들 트윗에 인용으로 웅앵대면 뭐 심상정이,0,0.65,0.04,0.01,0.01,0.01,0.02,0.01,0.06,0.29,0.06
자신의 가오가 더 중요하고 자신의 입지가 더 중요하고 미래에도 페미니즘 딱지 유지하기에 좋은 선택인 여자후보 뽑기를 하겠다고 말한 페미니스트들 너무 실망스러움 일단 죽어나가고 희생될 여자들을 지키는 게 우선 아님 난 소신투표 거리는 거 기부니즘의 연장선이라 생각함,0,0.65,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.09,0.35
소신투표 포기한다는 말 크게 나오기 시작하니까 좀 신경쓰이기 시작했나 나도 이재명 싫은데 그렇다고 페미니즘이 반헌법적이니 여가부가 폭력기구니 하는 놈이 되게 놔둘 순 없잖아 이재명도 이대남 챙겼지만 그래도 나중엔 여자 눈치라도 보긴 했는데 ㅋㅋㅋㅋ,0,0.65,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.11,0.3
윤석열 뽑으라는 소리가 아님 여성인권 위한다면 최소 지금까지 여성을 인간취급도 하지 않고 남자가 역차별 당한다며 여가부 건드려야 한다고 한 이재명만큼은 절대 뽑으면 안되지 차별금지법도 한번 던져놨다가 다음날 말실수로 등치시키고 안면 싹 바꾸는 쓰레기때문에 왜 소신투표를 포기해요,0,0.65,0.01,0.04,0.04,0.01,0.04,0.02,0.3,0.16,0.05
여성정책 좋은 소수정당 대선후보한테 소신투표 하겠다는 여자팰시간에 문을 위하니까 윤을 뽑는다는 이상한 사람들부터좀 패든지 돌려세우던지 해 ㅋㅋ,0,0.64,0.03,0.02,0.01,0.01,0.01,0.01,0.04,0.34,0.12
왜 국힘 지지자한테 뭐라 안하고 소신투표 하겠다는 여자들한테 뭐라하냐고 지금 트위터 페미탐라 지켜보는 여초가 합산 몇십만인지는 알고 그럼 또 소신투표론 같은 게 어디서부터 퍼져나갔는데 그리고 여혐으로 뭉친 국힘지지자를 팬다고 바뀌겠음 여혐 반대 한다는 여자들도 이지경인데,0,0.63,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.12,0.32
내가 진짜 매번 말하지만 그놈의 이재명 여성 혐오 전적 말하는 인간들 중에 진짜로 여성인권 걱정하는 사람 거의 못 봄 그냥 여자 표가 모일까봐 불안한 윤 지지자들 뿐임 물론 소수의 심 지지자들의 소신투표 존중함 #여성이 뽑는다 여성이 바꾼다,0,0.63,0.01,0.01,0.02,0.01,0.01,0.01,0.04,0.18,0.26
여자는 이재명한테 소신투표 절대 못해 스토킹한 피해여성과 모친을 37번 칼로 찔러죽인 이재명 조카 국선변호사가 지정돼 있었는데도 이재명은 변론에 적극 나서 1심 2심 항고심까지 심신미약으로 감형주장하고 문제가 커지니 데이트폭력에 변호했던 거 잘못했다면서 사과해서 유가족한테 소송당함,0,0.62,0.02,0.01,0.03,0.01,0.02,0.01,0.03,0.12,0.3
윤석열이 심상정 하고도 국정 연대 가능 하다 시사 하면 판이 또 뒤집힐거 같은데 그럼 트페미들이 심상정으로 소신 투표 해도 될테니 물론 국힘과 정의당의 추구 노선이 정반대라 실현 가능성은 낮지만 윤석열 이라면 뭔가 답을 찾아 내지 않을까도 싶고,0,0.62,0.01,0.03,0.02,0.01,0.01,0.01,0.03,0.07,0.39
머리가 띵하다 여자표 필요없다 이거야 남자표 쓸어담을거니까 여기서 여자들이 소신투표 해봤자 윤석열 당선 밖에 더 되냐 지금은 유의미한 사표 보다 효력있는 한 표 행사가 더욱 중요하다구요 이번 대선이 정말 분기점이라고,0,0.62,0.05,0.01,0.01,0.01,0.02,0.01,0.02,0.08,0.26
소신투표 반대하는 거 아니고 민주당 이재명 싫지만 윤석열이 되는 꼴을 도저히 볼 수가 없음 반페미 정부 들어서면 당장 이민 못 가는 사람들은 어쩔 거고 여학생들은 어쩔 거임 기적이 일어나서 심찍심 된다고 해도 성중립화장실밖에 더 생기겠나 와신상담의 마음으로 이재명을 찍을 수밖에,0,0.62,0.02,0.03,0.02,0.01,0.01,0.01,0.03,0.13,0.2
이재명은 형수에게 니 친정엄마 보지를 확 찢어서 좆탱이에 라는 여성혐오 욕설을 내뱉었고 문제가 되자 죽은 친형이 노모에게 폭언과 폭행을 했고 형수가 도와줘서 쌍욕을 할 수밖에 없었다며 이재명은 거짓말을 했다 이재명에게 소신투표하면 여자들은 찢길 걱정을 하고 살아야 하는 세상이 옴,0,0.62,0.07,0.01,0.02,0.01,0.01,0.01,0.03,0.32,0.04
소신투표 하겠다는 여성분들 저도 이재명 싫어하던 여성입니다만 다 제쳐두고 윤이 대통령 되면 이준석과 신남성연대가 공식적인 정부의 스피커가 되고 극우 안티페미 유튜버들이 지금보다 더 활개를 치며 자라나는 남아들은 순식간에 그 문화에 물들것입니다 정말로 소신투표가 최선의 선택일까요,1,0.61,0.03,0.03,0.02,0.01,0.01,0.0,0.03,0.07,0.39
여자들은 각자 소신투표 할거라고 표 분산될 거라고 확신하니까 이런 광고 당당히 내는거임 쟤들이 저렇게나 무시하고 있는데 이대남과 국짐 예상에 부흥해줄거임 우리 단합해서 전략투표 가자 여혐 부추기는 정당 통쾌하게 누르고 여가부 지킬 수 있는 찬스 투표용지 1번,0,0.61,0.15,0.01,0.02,0.01,0.01,0.0,0.02,0.06,0.18
트펨들 무조건 여자여야 한다며 당의정만 올려세운건 고집이라도 있어보였는데 소신투표라면서 여혐끝판왕인 이죄명 찍겠다는건 당췌 소신이라는데 전혀 소신도 지조도 뭣도 없는 개븅신삽대가리들 같아 보이는데,0,0.6,0.03,0.06,0.01,0.01,0.01,0.01,0.1,0.37,0.04
