text,label,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
원래 죽어도소신투표ㅇㅇ sj sj pump this party엿는데 박지현님 입당기사 보자마자 흔들렷어 저두욧 n번방에 엮인 한남들 오지게많고 뭐만하면 성적으로 보복시킬려고 혈안인 놈들인데 신상 얼굴 공개하고 정치판에 뛰어든게 얼마나 큰 결심이었을지 상상이 x 게다가 성착취,0,0.03,0.89,0.03,0.03,0.03,0.01,0.01,0.02,0.08,0.05
윤의 지지율이 이렇게까지 높아질 거라고는 생각도 못하고 소신투표 하겠다 장담했었는데 아무래도 이건 아니다 윤이 되면 정말 여자들 다 죽어나가고 여자들 죽인 자댕이들은 더 활개치며 처벌도 안받고 돌아다닐거다 진짜 이렇게까지 지지율이 높을 줄이야 사실은 비상식적인게 상식인거 아닐까,0,0.13,0.89,0.03,0.04,0.02,0.01,0.02,0.02,0.06,0.03
주4일제에 혹해서 심뽑을까 했던 사람인데 이번엔 진짜 안된다는 걸 깨달았음 심상정 뽑으면 심상정이 된다 내가 소신투표하면 국가가 알아줄 것 이라는 순진한 기대 하지마세요 당장 이대남새끼들도 무지성으로 윤석열 뽑아서 지금 이 지랄 난거임ㅋㅋ 우리도 무지성으로 윤석열 막아야 삽니다,0,0.04,0.89,0.03,0.12,0.03,0.03,0.01,0.05,0.05,0.03
소신투표도 지금 윤석열이 낙선했을때나 통하는 말이지 윤석열 대통령되면 야갤펨코인셀한남들의 나라 되는거 머지 않았다니까요 진짜 아직도 심뽑심하는거 답답해죽을거같음 당장 펨코에서도 여자들 표 분산시킨다고 심블리 영업하라하는데,0,0.11,0.88,0.02,0.03,0.03,0.02,0.01,0.02,0.05,0.06
걍 저벅저벅걸어가서 민증보여주고 소신투표하고나올 정상인이 많지가않네 자캐풀 되돌아봄 다음 기회엔 꼭 정상인을 2년후 자캐출마합니다,0,0.05,0.88,0.02,0.04,0.02,0.02,0.01,0.02,0.07,0.05
전략 투표 했을땐 배은망덕한 냄저대통령은 먹버하고 소신 투표 했을땐 무지개 쓰까가 원한적 없는 트젠까지 데리고 와서 절대 안믿음 앞에서 말 안믿고 뒤에서 무슨 생각하고 있을까 계산기 두드리고 있음 어차피 나한텐 둘다 리스크인데 더 리스크가 적은 쪽으로 뽑을 거임,0,0.02,0.87,0.23,0.04,0.05,0.03,0.02,0.04,0.04,0.03
그거죠 이래도 소신투표할래 이런 느낌 물론 그 의도가 아니라 오메가남들 굳히려고 그러는거겠지만,0,0.07,0.85,0.04,0.03,0.02,0.02,0.01,0.02,0.08,0.07
#여성이 뽑는다 여성이 바꾼다 신남연들이랑 인셀 펨코남들이 이재명싫어하는것만 봐도 답나오잖아 이재명 찍어야함 소신투표도 그 소신이 효과가 있어야 소신투표를 하지 곧 대선 앞 두고 지지율바닥인 사람왜뽑냐 누군 이재명 좋아서 뽑는줄아나 현실적으로 생각하자,0,0.16,0.84,0.02,0.06,0.02,0.02,0.01,0.02,0.04,0.06
심상정 소신투표 한다는 사람들 소신대로 투표할수있는 그 소신이 ㅋㅋ 부럽네 어디 한남없는 해외나가사나 소신대로 여자들이 심뽑으면 윤석열이 2030눈치볼거라는 그 지능도 부럽고 당장 대한민국에서 살아남아야하는 20여자인 나는 저런 속편한소리보면 진짜 답답해 죽을거같은데,0,0.19,0.83,0.01,0.06,0.02,0.02,0.01,0.02,0.05,0.04
이삼남들이 윤석열 이준석 미친듯이 지지하는거 보면 모르냐고 진짜 미쳐버리겠네 윤석열되면 이삼남들 눈벌게져서 맘편하게 죽일여자들 찾아다닐텐데 누군 소신투표 안하고 싶냐고 이재명뽑겠다는 여자들 멍청해서 뽑겠다는거 아니라고 지금 심찍으면 이삼남한테 보여주는거라고 여자표 의미없다는거,0,0.17,0.83,0.02,0.05,0.01,0.01,0.01,0.02,0.07,0.04
소신투표라니 지금 그런걸 할 여유가 잇냐고 벌건당 및 한남 막는걸로도 벅찬대 여기서 흩어지면 대한민국 여성인권 망할게 뻔할걸 모르는거야 저딴 놈들 활개치게 냅둘거냐고 지금 당들이 균형잇게 경쟁하는것도 아닌데 소신투표 한다는건 걍 배부른소리같아,0,0.11,0.82,0.02,0.03,0.02,0.01,0.01,0.02,0.09,0.04
님들아 제발제발 무지성 아묻따 2찍는 신남연 새끼들 막아야 함 소신투표한다 눈물이 난다 그치만 이해함 전략투표한다 눈물이 난다 우리 존재 파이팅 투표를 아예 안 한다 이런 사람은 없겠지만 한 대 쥐어박고 싶어지기 전에 당장 신분증 들고 사전투표 장소로,0,0.16,0.8,0.04,0.06,0.02,0.07,0.01,0.03,0.04,0.03
윤석열은 저렇게 인셀남들 표심 다닥다닥 긁어모아서 원기옥 만드는데 진짜로 뭐 똑똑한척 난 고고한 소신투표하겠다 이재명도 똑같니 뭐니 눈가리고 아웅하는게 페미니즘이냐 발등이 아니라 콧등에 불떨어져도 지 코가 타는지도 모르는 못난 멍청이들,0,0.12,0.8,0.02,0.03,0.02,0.01,0.01,0.03,0.1,0.04
님들아 제발제발 무지성 아묻따 2찍는 신남연 새끼들 막아야 함 소신투표한다 눈물이 난다 그치만 이해함 전략투표한다 눈물이 난다 우리 존재 파이팅 투표를 아예 안 한다 이런 사람은 없겠지만 한 대 쥐어박고 싶어지기 전에 당장 신분증 들고 사전투표 장소로,0,0.16,0.8,0.04,0.06,0.02,0.07,0.01,0.03,0.04,0.03
윤이 된다 민주당 새끼들 악에 받쳐 저주 뇌절함 예상가능 그렇다고 국힘이 지엄한 소신투표자들의 뜻을 삼가 모시나 역시 한녀들은 전략투표할 능지조차 안된다며 조롱하고 난리남 나라꼴 은 장담할수 없지만 한남 새끼들이 기세등등해서 체감 여권은 ㅈ창남,0,0.3,0.79,0.01,0.04,0.02,0.02,0.01,0.02,0.04,0.03
소신투표 하세요 그래서 이번에 윤석열 이지만 다음엔 이준석이 장관 총리찍고 차차기 대권 유력주자로 인셀남들의 열렬한 지지로 청와대에 입성하는 끔찍한 미래를 맛볼수 있습니다 당장은 여성인권뿐이지만 어린이 노인 장애인 등 모든 약자들에 대한 혐오도 강해질겁니다,0,0.07,0.79,0.04,0.07,0.02,0.01,0.01,0.03,0.04,0.09
소신투표 하고 싶었지만 그럴 상황이 아닌 것 같음 시발 설마 이 정도까지 시대가 퇴화될 줄 누가 알았겠냐 쉰남연 같은 놈들이 나대는 꼴 절대 못 본다,0,0.06,0.79,0.04,0.25,0.19,0.05,0.01,0.04,0.02,0.02
